demo_id,arm,geometry_source,evidence_length_m,modeled_length_m,sumo_effective_in_m,sumo_effective_out_m,adjustment_type,length_confidence,cutoff_reason
11,S,checked_in_osm_extract,2501.9,250.0,239.59,239.59,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
11,W,checked_in_osm_extract,2188.39,250.0,241.9,242.31,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
12,N,checked_in_osm_extract,919.28,250.0,239.1,239.44,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
12,E,checked_in_osm_extract,1641.0,250.0,239.12,239.65,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
12,S,checked_in_osm_extract,2098.51,250.0,239.53,239.8,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
12,W,checked_in_osm_extract,8.2,250.0,239.28,239.28,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
13,E,explicit_osm_chain,2996.25,250.0,241.63,244.29,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
13,W,explicit_osm_chain,537.09,250.0,241.79,241.35,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
13,N,explicit_osm_chain,472.18,250.0,235.89,235.87,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
14,E,explicit_osm_chain,156.92,250.0,242.64,242.64,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
14,N,explicit_osm_chain,191.56,250.0,242.19,243.44,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
14,S,explicit_osm_chain,45.06,250.0,242.64,242.64,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
15,N,checked_in_osm_extract,139.75,250.0,236.04,236.33,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
15,E,checked_in_osm_extract,15.89,250.0,236.43,236.42,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
15,S,checked_in_osm_extract,103.36,250.0,236.46,236.46,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
15,W,checked_in_osm_extract,136.58,250.0,236.21,236.21,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
16,N,checked_in_osm_extract,209.98,250.0,236.28,236.39,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
16,E,checked_in_osm_extract,143.05,250.0,233.33,233.32,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
16,S,checked_in_osm_extract,57.55,250.0,235.55,235.55,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
16,W,checked_in_osm_extract,181.01,250.0,235.61,236.74,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
17,N,checked_in_osm_extract,264.04,250.0,236.33,236.33,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
17,E,checked_in_osm_extract,11.76,250.0,236.36,236.36,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
17,S,checked_in_osm_extract,189.0,250.0,239.57,239.57,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
18,N,checked_in_osm_extract,202.36,250.0,236.26,236.26,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
18,E,checked_in_osm_extract,120.07,250.0,235.86,235.86,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
18,S,checked_in_osm_extract,15.9,250.0,236.72,236.72,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
18,W,checked_in_osm_extract,15.02,250.0,236.42,236.43,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
19,N,checked_in_osm_extract,160.12,250.0,236.91,236.91,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
19,E,checked_in_osm_extract,186.5,250.0,234.44,235.52,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
19,S,checked_in_osm_extract,11.3,250.0,237.69,237.69,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
19,W,checked_in_osm_extract,218.51,250.0,235.05,233.98,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
20,N,checked_in_osm_extract,62.78,250.0,236.31,236.31,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
20,E,checked_in_osm_extract,244.82,250.0,238.06,238.07,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
20,S,checked_in_osm_extract,15.2,250.0,233.19,233.19,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
20,W,checked_in_osm_extract,113.48,250.0,235.39,235.39,standardized_isolated_intersection_boundary,high,next_osm_topological_junction
